date,time,name,storm_type,latitude,longitude,max_sustained_wind(knots),min_pressure(mbar),34kt_wind_radii_NE,34kt_wind_radii_SE,34kt_wind_radii_SW,34kt_wind_radii_NW,50kt_wind_radii_NE,50kt_wind_radii_SE,50kt_wind_radii_SW,50kt_wind_radii_NW,64kt_wind_radii_NE,64kt_wind_radii_SE,64kt_wind_radii_SW,64kt_wind_radii_NW,radii_max_wind(nautical_miles),ATCF Cyclone Number,year,num track entries,index_column
2000-06-07,18:00:00,UNNAMED,TD,21.0,93.0,25.0,1008.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,2000-01-01,4,0
2000-06-08,00:00:00,UNNAMED,TD,20.9,92.8,25.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,2000-01-01,4,1
2000-06-08,06:00:00,UNNAMED,TD,20.7,93.1,25.0,1010.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,2000-01-01,4,2
2000-06-08,12:00:00,UNNAMED,TD,20.8,93.5,25.0,1010.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,2000-01-01,4,3
2000-06-23,00:00:00,UNNAMED,TD,9.5,19.8,25.0,1010.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,4
2000-06-23,06:00:00,UNNAMED,TD,9.6,21.0,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,5
2000-06-23,12:00:00,UNNAMED,TD,9.9,22.6,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,6
2000-06-23,18:00:00,UNNAMED,TD,10.2,24.5,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,7
2000-06-24,00:00:00,UNNAMED,TD,10.1,26.2,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,8
2000-06-24,06:00:00,UNNAMED,TD,9.9,27.8,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,9
2000-06-24,12:00:00,UNNAMED,TD,9.9,29.3,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,10
2000-06-24,18:00:00,UNNAMED,TD,10.1,30.1,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,11
2000-06-25,00:00:00,UNNAMED,TD,10.1,32.6,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,12
2000-06-25,06:00:00,UNNAMED,TD,10.0,34.2,30.0,1008.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,13
2000-06-25,12:00:00,UNNAMED,TD,9.8,36.2,30.0,1009.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,14
2000-06-25,18:00:00,UNNAMED,TD,9.7,38.2,25.0,1010.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,2000-01-01,12,15
2000-08-03,18:00:00,ALBERTO,TD,10.8,18.0,25.0,1007.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,16
2000-08-04,00:00:00,ALBERTO,TD,11.5,20.1,30.0,1005.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,17
2000-08-04,06:00:00,ALBERTO,TS,12.0,22.3,35.0,1004.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,18
2000-08-04,12:00:00,ALBERTO,TS,12.3,23.8,35.0,1003.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,19
2000-08-04,18:00:00,ALBERTO,TS,12.7,25.2,40.0,1002.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,20
2000-08-05,00:00:00,ALBERTO,TS,13.2,26.7,40.0,1001.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,21
2000-08-05,06:00:00,ALBERTO,TS,13.7,28.2,45.0,1000.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,22
2000-08-05,12:00:00,ALBERTO,TS,14.1,29.8,45.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,2000-01-01,87,23
