Year,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,RISK_SCORE,Population Density,Fatality Rate,Damage Index,Preparedness_Score
2024,75,140,950,10,36,99.5545657,1083.913286,5.14e-05,151629321.6,34
2024,60,130,960,8,30,97.48647789,118.0328849,0.000343114,21813530.08,23
2023,27,130,950,12,32,74.00572701,14.2028116,0.001244813,2377484.992,27
2022,148,155,937,18,45,99.49093223,496.641839,0.000194757,80385810.9,20
2022,10,75,985,6,30,97.07286032,256.3151335,6.26e-05,45932259.66,31
2021,107,150,929,16,38,94.40025453,65.66172276,0.001098642,8656094.563,43
2021,1,75,988,6,25,89.78682787,22.23366461,2.76e-05,4093164.664,28
2020,77,150,937,15,30,98.47279669,325.8185746,0.000183297,42345902.17,14
2020,6,100,970,8,28,98.47279669,325.8185746,1.43e-05,42345902.17,14
2020,6,110,970,9,26,96.37289214,52.05432755,5.48e-05,10439344.18,43
2019,3,75,993,5,24,94.71842189,43.60016962,6.08e-05,10365336.95,37
2018,74,160,919,14,34,97.48647789,118.0328849,0.000423174,21813530.08,23
2018,54,140,956,10,28,98.50461343,678.3809575,0.000239634,154315259.8,43
2017,107,130,938,9,60,84.50524976,44.44723282,0.004514197,9640659.531,31
2017,92,185,914,18,46,98.85459752,142.6813731,0.000245044,31368979.26,23
2016,603,120,947,6,42,99.45911549,297.2389092,0.001478949,62692809.24,49
2015,34,155,931,5,30,97.04104359,128.5162435,0.00024955,28246095.73,38
2014,1,100,973,4,22,97.10467706,50.32210886,1.48e-05,12953559.99,43
2013,23,65,989,6,18,98.47279669,325.8185746,5.48e-05,42345902.17,14
2012,41,80,965,7,25,96.97741012,1085.540224,0.00010688,164551485.7,45
2012,233,85,940,13,32,96.94559338,404.1465557,0.000849556,90459439.98,39
2011,49,85,952,8,36,97.10467706,50.32210886,0.000724584,12953559.99,43
2009,8,70,987,6,22,98.79096405,249.6095847,1.93e-05,45779091.3,39
2008,153,105,960,12,32,96.37289214,52.05432755,0.001397464,10439344.18,43
2008,195,110,935,15,45,99.52274897,397.0468222,0.000556385,64287263.13,43
