Year,Hurricanes,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,STATE,RISK_SCORE,Population Density,Fatality Rate,Damage Index,Emergency Preparedness,Preparedness_Score,Emergency_Preparedness
2024,Milton ,75,140,950,10,36,Florida,99.5545657,1083.913286,5.14E-05,151629321.6,Low,34,0
2024,Helene ,60,130,960,8,30,Florida,97.48647789,118.0328849,0.000343114,21813530.08,Low,23,0
2023,Idalia ,27,130,950,12,32,Florida,74.00572701,14.2028116,0.001244813,2377484.992,Low,27,0
2022,Ian ,148,155,937,18,45,Florida,99.49093223,496.641839,0.000194757,80385810.9,Low,20,0
2022,Nicole ,10,75,985,6,30,Florida,97.07286032,256.3151335,6.26E-05,45932259.66,Low,31,0
2021,Ida ,107,150,929,16,38,Louisiana,94.40025453,65.66172276,0.001098642,8656094.563,Moderate,43,1
2021,Nicholas ,1,75,988,6,25,Texas,89.78682787,22.23366461,2.76E-05,4093164.664,Low,28,0
2020,Laura ,77,150,937,15,30,Texas,98.47279669,325.8185746,0.000183297,42345902.17,Low,14,0
2020,Delta ,6,100,970,8,28,Texas,98.47279669,325.8185746,1.43E-05,42345902.17,Low,14,0
2020,Zeta ,6,110,970,9,26,Louisiana,96.37289214,52.05432755,5.48E-05,10439344.18,Moderate,43,1
2019,Barry ,3,75,993,5,24,Louisiana,94.71842189,43.60016962,6.08E-05,10365336.95,Low,37,0
2018,Michael ,74,160,919,14,34,Florida,97.48647789,118.0328849,0.000423174,21813530.08,Low,23,0
2018,Florence ,54,140,956,10,28,North Carolina,98.50461343,678.3809575,0.000239634,154315259.8,Moderate,43,1
2017,Harvey ,107,130,938,9,60,Texas,84.50524976,44.44723282,0.004514197,9640659.531,Low,31,0
2017,Irma ,92,185,914,18,46,Florida,98.85459752,142.6813731,0.000245044,31368979.26,Low,23,0
2016,Matthew ,603,120,947,6,42,South Carolina,99.45911549,297.2389092,0.001478949,62692809.24,Moderate,49,1
2015,Joaquin ,34,155,931,5,30,North Carolina,97.04104359,128.5162435,0.00024955,28246095.73,Low,38,0
2014,Arthur ,1,100,973,4,22,North Carolina,97.10467706,50.32210886,1.48E-05,12953559.99,Moderate,43,1
2013,Ingrid ,23,65,989,6,18,Texas,98.47279669,325.8185746,5.48E-05,42345902.17,Low,14,0
2012,Isaac ,41,80,965,7,25,Louisiana,96.97741012,1085.540224,0.00010688,164551485.7,Moderate,45,1
2012,Sandy ,233,85,940,13,32,New Jersey,96.94559338,404.1465557,0.000849556,90459439.98,Low,39,0
2011,Irene ,49,85,952,8,36,North Carolina,97.10467706,50.32210886,0.000724584,12953559.99,Moderate,43,1
2009,Ida ,8,70,987,6,22,Alabama,98.79096405,249.6095847,1.93E-05,45779091.3,Low,39,0
2008,Gustav ,153,105,960,12,32,Louisiana,96.37289214,52.05432755,0.001397464,10439344.18,Moderate,43,1
2008,Ike ,195,110,935,15,45,Texas,99.52274897,397.0468222,0.000556385,64287263.13,Moderate,43,1
2007,Humberto ,1,85,985,6,18,Texas,99.52274897,397.0468222,2.85E-06,64287263.13,Moderate,43,1
2006,Ernesto ,9,70,994,4,15,Florida,99.80909959,1118.186799,3.33E-06,132590714.1,Low,39,0
2006,Alberto ,5,65,997,3,18,Florida,74.00572701,14.2028116,0.000230521,2377484.992,Low,27,0
2005,Dennis ,42,150,946,7,18,Florida,91.37766465,38.12573296,0.001144227,7133036.4,Low,20,0
2005,Katrina ,1200,175,902,28,42,Louisiana,96.97741012,1085.540224,0.00477834,164551485.7,Moderate,45,1
2005,Rita ,120,120,937,15,32,Louisiana,98.15462934,679.3793039,0.000272362,100685812.8,Moderate,45,1
2005,Wilma ,87,150,882,12,35,Florida,98.85459752,142.6813731,0.000231726,31368979.26,Low,23,0
2004,Charley ,15,150,947,6,25,Florida,96.59560929,195.1654565,8.03E-05,32883219.68,Low,19,0
2004,Frances ,7,105,960,4,22,Florida,96.53197582,208.019349,4.42E-05,38546008.35,Low,30,0
2004,Ivan ,92,140,946,10,30,Florida,70.21953548,93.01727792,0.003258598,11729769.11,Low,33,0
2004,Jeanne ,3,120,950,6,20,Florida,98.31371301,473.3492404,9.12E-06,63775853.06,Low,28,0
2003,Claudette ,2,90,980,4,15,Texas,85.14158447,19.22843165,9.97E-05,4604026.356,Moderate,42,1
2003,Isabel ,51,105,957,7,28,Texas,99.1091314,228.6120454,0.000137291,35395696.97,Low,38,0
2002,Isidore ,7,70,964,5,18,Louisiana,88.45052498,48.4461571,0.000217155,8563994.824,Low,25,0
2002,Lili ,15,90,953,6,22,Louisiana,89.85046134,36.79378339,0.000261702,4645807.564,Low,38,0
2000,Alberto ,12,110,980,7,24,Alabama,98.79096405,249.6095847,2.89E-05,45779091.3,Low,39,0
1999,Bret ,7,125,944,8,20,Texas,98.47279669,325.8185746,1.67E-05,42345902.17,Low,14,0
1999,Floyd ,57,155,921,10,25,North Carolina,98.50461343,678.3809575,0.000252947,154315259.8,Moderate,43,1
1998,Bonnie ,3,115,954,5,20,North Carolina,98.50461343,678.3809575,1.33E-05,154315259.8,Moderate,43,1
1998,Georges ,16,105,964,8,28,Mississippi,97.20012727,209.3995808,7.68E-05,37530903.59,Low,33,0
1997,Danny ,9,70,984,6,20,Mississippi,95.99109131,135.8231469,6.29E-05,21889130.2,Low,38,0
1996,Bertha ,12,105,977,6,20,North Carolina,98.50461343,678.3809575,5.33E-05,154315259.8,Moderate,43,1
1996,Fran ,37,120,960,8,28,North Carolina,98.50461343,678.3809575,0.000164193,154315259.8,Moderate,43,1
1995,Erin ,6,85,984,4,18,Florida,97.07286032,256.3151335,3.76E-05,45932259.66,Low,31,0
1995,Opal ,59,115,942,8,26,Florida,91.37766465,38.12573296,0.001607367,7133036.4,Low,20,0
1992,Andrew ,65,165,922,17,30,Florida,99.80909959,1118.186799,2.41E-05,132590714.1,Low,39,0
1992,Bonnie ,6,95,980,5,18,North Carolina,98.50461343,678.3809575,2.66E-05,154315259.8,Moderate,43,1
1989,Hugo ,49,140,934,20,30,South Carolina,99.45911549,297.2389092,0.00012018,62692809.24,Moderate,49,1
1989,Jerry ,3,75,987,6,20,Texas,99.52274897,397.0468222,8.56E-06,64287263.13,Moderate,43,1
1988,Florence ,4,65,987,4,16,Alabama,95.99109131,135.8231469,2.79E-05,21889130.2,Low,38,0
1988,Gilbert ,318,125,888,8,28,Texas,98.47279669,325.8185746,0.000756993,42345902.17,Low,14,0
1987,Emily ,3,110,988,6,18,Texas,96.72287623,569.9956771,4.84E-06,88099559.43,Low,32,0
1986,Bonnie ,5,75,995,4,16,Texas,99.52274897,397.0468222,1.43E-05,64287263.13,Moderate,43,1
1986,Andrew ,8,75,990,6,22,Texas,98.47279669,325.8185746,1.90E-05,42345902.17,Low,14,0
1985,Elena ,4,110,953,10,26,Mississippi,97.20012727,209.3995808,1.92E-05,37530903.59,Low,33,0
1985,Gloria ,8,105,946,6,20,New York,98.1228126,27960.14273,2.92E-06,3383459508,Low,7,0
1984,Diana ,3,115,954,6,22,North Carolina,98.50461343,678.3809575,1.33E-05,154315259.8,Moderate,43,1
1983,Alicia ,21,115,962,12,20,Texas,99.52274897,397.0468222,5.99E-05,64287263.13,Moderate,43,1
1980,Allen ,269,190,899,15,28,Texas,98.47279669,325.8185746,0.00064035,42345902.17,Low,14,0
1980,Bonnie ,5,85,995,4,18,Texas,99.52274897,397.0468222,1.43E-05,64287263.13,Moderate,43,1
1977,Babe ,5,65,990,4,18,Louisiana,96.37289214,52.05432755,4.57E-05,10439344.18,Moderate,43,1
1977,Dorothy ,3,75,987,6,20,Texas,99.52274897,397.0468222,8.56E-06,64287263.13,Moderate,43,1
1976,Belle ,12,105,970,6,24,New York,98.1228126,27960.14273,4.39E-06,3383459508,Low,7,0
1975,Eloise ,76,120,955,14,32,Florida,97.48647789,118.0328849,0.000434611,21813530.08,Low,23,0
1974,Carmen ,8,130,928,10,30,Louisiana,94.71842189,43.60016962,0.000162229,10365336.95,Low,37,0
1972,Agnes ,122,75,978,4,36,Florida,97.48647789,118.0328849,0.000697665,21813530.08,Low,23,0
1971,Edith ,37,115,960,10,28,Texas,98.47279669,325.8185746,8.81E-05,42345902.17,Low,14,0
