Year,Hurricanes,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,RISK_SCORE,Population Density,Damage Index,Preparedness_Score
2024,Milton ,75,140,950,10,36,99.5545657,1083.913286,151629321.6,34
2024,Helene ,60,130,960,8,30,97.48647789,118.0328849,21813530.08,23
2023,Idalia ,27,130,950,12,32,74.00572701,14.2028116,2377484.992,27
2022,Ian ,148,155,937,18,45,99.49093223,496.641839,80385810.9,20
2022,Nicole ,10,75,985,6,30,97.07286032,256.3151335,45932259.66,31
2021,Ida ,107,150,929,16,38,94.40025453,65.66172276,8656094.563,43
2021,Nicholas ,1,75,988,6,25,89.78682787,22.23366461,4093164.664,28
2020,Laura ,77,150,937,15,30,98.47279669,325.8185746,42345902.17,14
2020,Delta ,6,100,970,8,28,98.47279669,325.8185746,42345902.17,14
2020,Zeta ,6,110,970,9,26,96.37289214,52.05432755,10439344.18,43
2019,Barry ,3,75,993,5,24,94.71842189,43.60016962,10365336.95,37
2018,Michael ,74,160,919,14,34,97.48647789,118.0328849,21813530.08,23
2018,Florence ,54,140,956,10,28,98.50461343,678.3809575,154315259.8,43
2017,Harvey ,107,130,938,9,60,84.50524976,44.44723282,9640659.531,31
2017,Irma ,92,185,914,18,46,98.85459752,142.6813731,31368979.26,23
2016,Matthew ,603,120,947,6,42,99.45911549,297.2389092,62692809.24,49
2015,Joaquin ,34,155,931,5,30,97.04104359,128.5162435,28246095.73,38
2014,Arthur ,1,100,973,4,22,97.10467706,50.32210886,12953559.99,43
2013,Ingrid ,23,65,989,6,18,98.47279669,325.8185746,42345902.17,14
2012,Isaac ,41,80,965,7,25,96.97741012,1085.540224,164551485.7,45
2012,Sandy ,233,85,940,13,32,96.94559338,404.1465557,90459439.98,39
2011,Irene ,49,85,952,8,36,97.10467706,50.32210886,12953559.99,43
2009,Ida ,8,70,987,6,22,98.79096405,249.6095847,45779091.3,39
2008,Gustav ,153,105,960,12,32,96.37289214,52.05432755,10439344.18,43
2008,Ike ,195,110,935,15,45,99.52274897,397.0468222,64287263.13,43
2007,Humberto ,1,85,985,6,18,99.52274897,397.0468222,64287263.13,43
2006,Ernesto ,9,70,994,4,15,99.80909959,1118.186799,132590714.1,39
