Hurricanes,Year,COUNTY_x,Lat,Lon,Landfall_pop/sq mile,Pathway Town,Pathway_Latitude,Pathway_Longitude,Pathway Town Population Densities ,Fatalities,Max Wind Speed_mph,Pressure_MB,Storm Surge_ft,Precip_total_in,Mapped_COUNTY,STATE,STATEABBRV,Latitude,Longitude,STATEFIPS,COUNTY_y,COUNTYTYPE,COUNTYFIPS,STCOFIPS,NRI_ID,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL,ALR_VRA_NPCTL,SOVI_SCORE,SOVI_RATNG,SOVI_SPCTL,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_EXP_AREA,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_NPCTL,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,Population Density,Fatality Rate,Damage Index,Preparedness,Emergency Preparedness,Preparedness_Score,Emergency_Preparedness
Milton ,2024,tampa,27.9498901,-82.4602554,1500,"St. Petersburg, FL",27.7671271,-82.6384451,4200,75,140,950,10,36,hillsborough,Florida,FL,27.9903597,-82.3017728,12,hillsborough,County,57,12057,C12057,1458282,2.04E+11,513396369,1345.386221,656902724.1,99.5545657,Very High,95.52238806,99.56669762,Very High,95.52238806,533355772.5,427713270.9,8.594995988,99701953.47,5940548.125,0.002098561,5.89E-06,0.011571075,83.68926029,85.68246898,79.05999756,Relatively High,0.611940299,40.90000153,Relatively Moderate,0.671641791,2.560275078,1.231640788,50,0.257361276,2.04E+11,1458216.038,1.69E+13,513396369,1.71E+13,1085.430747,0.007857425,9.48E-06,0.014778741,Relatively High,399767958.7,3.449119024,40009780.68,1860500.58,441638240,99.82706442,Very High,0.001961449,2.37E-06,0.003623907,90.96411587,542216706.4,99.82054733,Very High,1083.913286,5.14E-05,151629321.6,34.28485152,Low,34,0
Helene ,2024,panama city,30.160048,-85.659964,1100,"Tallahassee, FL",30.4381828,-84.2806235,1900,60,130,960,8,30,bay,Florida,FL,30.1805306,-85.684578,12,bay,County,5,12005,C12005,174869,32317351193,3328101,1481.527798,190796027.3,97.48647789,Relatively High,74.62686567,97.18353451,Relatively High,71.64179104,153731609.9,134734224.4,1.632387218,18935691.73,61693.84934,0.004169099,9.33E-06,0.018537253,95.54317549,98.02736239,73.30000305,Relatively High,0.47761194,31.40999985,Relatively Low,0.567164179,2.523262978,1.241098219,53,0.292526228,32316890621,174864.8303,2.03E+12,3328101,2.06E+12,816.6794238,0.015218106,9.48E-06,0.04539033,Very High,129291214.9,0.433118502,5024174.627,37668.52445,134353058,98.57328145,Relatively High,0.004000675,2.48E-06,0.011318324,95.07133593,166683817.4,98.74383131,Relatively High,118.0328849,0.000343114,21813530.08,23.35671825,Low,23,0
Idalia ,2023,big bend,29.8493551,-83.5911913,1200,"Tallahassee, FL",30.4381828,-84.2806235,1900,27,130,950,12,32,taylor,Florida,FL,30.0993767,-83.6773928,12,taylor,County,123,12123,C12123,21690,3630805713,13519640,1527.162411,14506558.57,74.00572701,Relatively Low,20.89552239,70.22593624,Relatively Low,22.3880597,11260278.41,10014273.75,0.093511928,1084738.365,161266.289,0.002758141,4.31E-06,0.011928298,89.75549366,92.45943366,85.38999939,Very High,0.701492537,16.17000008,Very Low,0.373134328,2.453622103,1.28829484,47,0.255682097,3630805713,21690,2.52E+11,13519640,2.55E+11,1061.124968,0.009546776,2.30E-06,0.044816334,Relatively High,8600837.315,0.012335658,143093.6322,148787.4351,8892718.382,85.0843061,Relatively Moderate,0.002368851,5.69E-07,0.011005281,92.26113273,11595483.18,88.20098699,Relatively Moderate,14.2028116,0.001244813,2377484.992,27.29752531,Low,27,0
Ian ,2022,fort myers,26.6400771,-81.8697756,1400,"Orlando, FL",28.5383832,-81.3789269,1200,148,155,937,18,45,lee,Florida,FL,30.4196584,-83.3004216,12,lee,County,71,12071,C12071,759922,1.23E+11,119695755,1530.120784,494565830.2,99.49093223,Relatively High,94.02985075,99.47384711,Relatively High,94.02985075,448543022.9,406599918.1,3.443208972,39941224.08,2001880.756,0.003297423,4.53E-06,0.016724743,91.79820489,92.74578428,72.08999634,Relatively High,0.447761194,9.170000076,Very Low,0.179104478,2.410476923,1.102605112,52,0.267202078,1.23E+11,759893.2451,8.81E+12,119695499,8.94E+12,933.7771143,0.012215502,9.48E-06,0.046023685,Very High,366443421.1,1.731672451,20087400.44,1395785.21,387926606.7,99.78383052,Very High,0.002971764,2.28E-06,0.011661109,93.94725465,430590607.5,99.77568416,Very High,496.641839,0.000194757,80385810.9,20.31593799,Low,20,0
Nicole ,2022,vero beach,27.6401776,-80.3897317,1100,"Orlando, FL",28.5383832,-81.3789269,1200,10,75,985,6,30,indian river,Florida,FL,28.23216849,-80.6003714,12,indian river,County,61,12061,C12061,159719,28622011035,122123316,623.1352702,165333142.7,97.07286032,Relatively High,71.64179104,97.24543485,Relatively High,73.13432836,154825273.5,141222714.9,0.89983933,10438136.23,3164422.397,0.00493406,5.63E-06,0.025911697,96.37883008,97.32739421,52.09999847,Relatively Moderate,0.194029851,49.54999924,Relatively Moderate,0.850746269,2.596092939,1.067869211,51,0.312380373,28621273861,159717.1838,1.85E+12,119996817.9,1.88E+12,531.2696924,0.015218106,9.48E-06,0.04539033,Very High,136304470.2,0.473738804,5495370.122,1658020.35,143457860.6,98.61651535,Relatively High,0.004762225,2.97E-06,0.013576608,98.22741029,152246279.7,98.47465231,Relatively High,256.3151335,6.26E-05,45932259.66,31.49731576,Low,31,0
Ida ,2021,port fourchon,29.1196752,-90.200473,1000,"New Orleans, LA",29.9508941,-90.0758356,1200,107,150,929,16,38,lafourche,Louisiana,LA,29.6952295,-90.5257823,22,lafourche,Parish,57,22057,C22057,97393,12839185179,44695729,1483.253803,85400056.63,94.40025453,Relatively Moderate,82.8125,93.99566698,Relatively Moderate,84.375,71357944.85,59301877.7,0.959770693,11133340.04,922727.1062,0.004618819,9.85E-06,0.020644637,95.41937481,97.74101177,80.33000183,Very High,0.5,91.33999634,Very High,0.859375,2.775188923,1.19678414,66,0.333485362,12839128963,97392.50251,1.13E+12,44684353.48,1.14E+12,1223.464658,0.015218106,9.48E-06,0.04539033,Very High,56082611.25,0.264871977,3072514.936,579763.3447,59734889.53,96.58452227,Relatively High,0.004368082,2.72E-06,0.012971337,97.57890186,71627400.12,96.81471512,Relatively High,65.66172276,0.001098642,8656094.563,42.62843109,Moderate,43,1
Nicholas ,2021,sargent beach,28.77,-95.61,900,"Houston, TX",29.7600771,-95.3701108,1200,1,75,988,6,25,matagorda,Texas,TX,28.691133,-95.9682714,48,matagorda,County,321,48321,C48321,36214,6666911089,142451186,1628.791323,43973638.81,89.78682787,Relatively Moderate,88.18897638,87.99133395,Relatively Moderate,87.4015748,32595729.51,25936341.37,0.367813156,4266632.614,2392755.531,0.003890309,1.02E-05,0.016797021,95.23367379,98.34552975,93.41000366,Very High,0.818897638,44.97000122,Relatively Moderate,0.791338583,2.576448917,1.349061349,43,0.225478292,6666772239,36211.88704,4.20E+11,140909775.5,4.27E+11,1205.85991,0.018944604,9.48E-06,0.068037577,Very High,24956433.23,0.066647285,773108.5013,1748114.12,27477655.85,93.77431907,Relatively Moderate,0.003743328,1.84E-06,0.012271671,94.76869866,37046868.46,94.75100942,Relatively Moderate,22.23366461,2.76E-05,4093164.664,27.98544354,Low,28,0
Laura ,2020,cameron,29.79,-93.32,850,"Lake Charles, LA",30.2265949,-93.2173758,800,77,150,937,15,30,cameron,Texas,TX,30.8532454,-96.9769304,48,cameron,County,61,48061,C48061,420083,54597236036,140604731,1289.315689,271688662.1,98.47279669,Relatively High,96.8503937,97.74063757,Relatively High,96.06299213,166163711.6,129647307.3,2.945530422,34168152.9,2348251.387,0.002374613,7.01E-06,0.016701084,86.81522748,94.30480433,98.27999878,Very High,0.937007874,7.860000134,Very Low,0.212598425,2.400382042,1.635066161,30,0.174195063,54592759133,420069.8713,4.87E+12,140072029.4,4.93E+12,1081.517893,0.012215502,9.48E-06,0.046023685,Relatively High,104524564.1,0.624531512,7244565.537,1000389.622,112769519.2,98.0977086,Relatively High,0.001914466,1.49E-06,0.007114907,90.40207523,185905524.6,98.83355765,Relatively High,325.8185746,0.000183297,42345902.17,13.53679602,Low,14,0
Delta ,2020,creole,29.759999,-93.130077,800,"Lafayette, LA",30.2240897,-92.0198427,750,6,100,970,8,28,cameron,Texas,TX,30.8532454,-96.9769304,48,cameron,County,61,48061,C48061,420083,54597236036,140604731,1289.315689,271688662.1,98.47279669,Relatively High,96.8503937,97.74063757,Relatively High,96.06299213,166163711.6,129647307.3,2.945530422,34168152.9,2348251.387,0.002374613,7.01E-06,0.016701084,86.81522748,94.30480433,98.27999878,Very High,0.937007874,7.860000134,Very Low,0.212598425,2.400382042,1.635066161,30,0.174195063,54592759133,420069.8713,4.87E+12,140072029.4,4.93E+12,1081.517893,0.012215502,9.48E-06,0.046023685,Relatively High,104524564.1,0.624531512,7244565.537,1000389.622,112769519.2,98.0977086,Relatively High,0.001914466,1.49E-06,0.007114907,90.40207523,185905524.6,98.83355765,Relatively High,325.8185746,1.43E-05,42345902.17,13.53679602,Low,14,0
Zeta ,2020,cocodrie,29.2502075,-90.6601353,900,"New Orleans, LA",29.9508941,-90.0758356,1200,6,110,970,9,26,terrebonne,Louisiana,LA,29.2299682,-90.7532809,22,terrebonne,Parish,109,22109,C22109,109484,21956698171,34563504,2103.264131,138263891.4,96.37289214,Relatively High,89.0625,96.34787991,Relatively High,87.5,119251823.2,102399839.2,1.392475538,16152716.24,699267.7364,0.004663718,1.27E-05,0.02023139,98.08108945,99.17276487,86,Very High,0.6875,94.75,Very High,0.90625,2.801381111,1.159427903,60,0.375648358,21956260563,109482.5736,1.27E+12,34554698.08,1.29E+12,1431.678193,0.015218106,9.48E-06,0.04539033,Very High,95827041.51,0.297773257,3454169.778,450861.0703,99732072.36,97.79507134,Relatively High,0.004364365,2.72E-06,0.013044426,97.44920017,115411776,97.89143114,Relatively High,52.05432755,5.48E-05,10439344.18,42.65175695,Moderate,43,1
